工作站順序,工單1,工單2,工單3,工單4,工單5,工單6
7,26,37,37,38,24,34
8,17,32,39,36,3,36
9,23,32,36,39,22,22
10,35,41,39,41,17,17
26,51,51,23,18,11,15
2,214,218,14,17,20,20
5,15,29,38,39,6,31
6,24,29,39,37,20,15
12,4,3,144,145,14,14
15,7,7,145,146,14,14
1,72,73,7,5,55,51
3,198,177,19,22,23,20
49,13,6,56,58,48,55
7,34,23,39,35,29,21
8,15,31,37,35,19,31
9,12,17,39,36,14,38
10,39,40,35,36,14,19
7,28,36,35,38,32,20
8,33,35,35,40,29,20
9,19,14,40,39,4,21
10,39,38,41,36,18,5
17,10,6,73,73,106,146
20,7,7,72,72,166,136
22,5,9,73,73,154,148
0,145,145,9,5,64,35
32,40,40,27,17,11,31
34,35,39,23,37,21,41
57,5,6,59,57,50,30
2,153,226,19,23,21,23
5,34,10,36,40,18,33
6,24,38,38,39,14,33
12,3,7,145,146,14,14
15,4,8,144,146,14,14
2,183,230,23,23,23,22
5,12,20,35,37,11,31
6,10,34,35,35,30,27
12,6,9,146,144,14,14
11,39,37,39,39,14,6
13,7,5,145,144,14,14
7,25,18,38,35,7,15
8,30,15,39,38,35,23
9,15,25,36,38,4,35
10,35,38,41,41,14,16
55,9,2,60,56,56,48
29,57,58,16,14,14,29
35,39,36,39,24,32,20
44,56,56,12,8,13,10
33,38,40,22,10,50,57
37,35,39,10,34,43,10
39,37,36,23,31,33,42
46,60,57,1,3,14,39
33,40,35,40,24,34,47
37,36,39,19,31,48,15
39,39,40,20,38,29,31
46,56,57,12,4,32,37
60,3,6,59,58,52,39
2,142,122,22,12,20,20
5,29,20,37,38,31,10
6,12,20,35,38,14,29
12,9,7,144,144,14,14
57,7,11,57,58,51,52
28,59,63,18,19,26,24
30,60,61,14,20,12,14
42,55,58,7,14,13,21
1,72,73,8,8,60,57
3,142,136,15,19,21,23
49,4,11,60,57,30,45
7,33,35,37,37,36,8
8,11,32,38,35,39,34
9,36,32,36,36,30,22
10,40,35,37,35,13,15
29,59,62,18,27,6,6
35,35,37,34,33,47,35
44,55,55,15,15,39,26
29,63,56,17,19,19,13
35,37,37,19,16,22,28
44,55,57,7,7,38,27
1,72,72,9,5,58,51
3,164,146,18,18,20,22
49,14,13,60,60,49,59
2,219,183,12,21,21,23
5,16,25,37,38,32,18
6,40,22,36,37,28,16
12,8,3,144,146,14,14
7,18,17,39,40,34,26
8,26,36,39,35,11,18
9,27,24,39,39,24,20
10,40,41,41,35,18,5
18,10,6,73,73,144,118
28,54,61,16,14,21,13
30,53,64,21,21,21,1
42,60,60,13,4,39,21
56,2,13,55,57,47,60
52,2,10,57,55,57,56
53,15,14,55,59,57,38
18,9,9,72,73,141,140
21,5,5,72,72,149,116
57,6,4,56,56,60,36
7,14,20,37,39,23,21
8,35,35,40,36,38,22
9,24,25,37,40,9,13
10,35,39,37,40,10,12
2,126,147,12,18,22,22
5,15,26,38,35,23,36
6,40,34,36,36,26,30
12,6,4,145,146,14,14
15,6,7,146,144,14,14
57,4,12,57,57,30,54
56,12,11,57,57,47,35
21,10,9,72,72,164,123
18,7,5,73,72,101,123
20,10,5,72,72,130,108
21,9,5,73,73,142,113
22,10,7,73,73,168,163
25,17,18,64,59,66,86
2,227,168,13,22,21,20
5,30,19,36,35,39,25
6,12,26,38,40,12,9
11,40,37,37,35,5,19
12,9,9,146,144,14,14
1,73,72,10,9,54,60
3,185,136,18,12,20,22
49,4,8,58,56,49,59
17,6,8,73,73,136,156
18,10,6,73,73,122,108
20,6,9,73,72,131,126
21,5,5,72,73,117,124
22,6,7,73,72,122,165
25,22,24,54,54,53,130
7,13,22,37,38,31,39
8,29,36,37,40,35,12
9,36,11,38,37,26,36
10,35,40,41,39,10,17
2,122,162,22,12,21,20
5,26,18,38,37,12,20
6,11,30,36,37,37,4
12,4,8,145,144,14,14
15,9,8,146,145,14,14
18,9,7,73,72,132,123
20,7,9,72,72,111,131
21,6,8,73,72,160,158
22,6,6,72,73,149,166
25,19,20,55,61,92,71
21,5,6,73,73,154,169
11,36,41,40,35,13,9
17,7,8,72,73,119,163
20,7,10,73,72,142,142
21,8,10,73,72,150,164
22,5,6,72,73,169,132
28,58,61,26,28,10,22
30,55,59,26,23,25,23
42,55,58,4,9,36,33
1,72,73,7,6,58,60
3,130,199,21,13,23,21
49,6,8,57,57,31,33
7,34,24,36,35,13,26
8,17,25,40,40,18,7
9,22,13,38,37,18,22
10,35,36,36,36,16,14
7,17,11,35,40,21,17
8,30,27,36,37,10,16
9,25,13,36,35,14,5
10,41,41,41,39,5,8
2,186,227,20,12,20,22
5,34,24,36,35,33,27
6,29,34,38,37,26,15
12,8,4,145,145,14,14
60,5,5,60,56,34,47
18,5,7,73,72,135,118
20,5,10,73,72,148,120
21,10,10,72,73,120,115
22,9,7,73,72,143,166
25,22,29,65,59,107,65
2,228,171,14,18,22,22
5,31,29,38,36,36,25
6,34,20,36,40,34,26
12,3,6,146,144,14,14
11,38,36,41,39,6,7
13,6,8,145,146,14,14
11,37,38,35,37,5,7
13,6,6,146,144,14,14
32,40,39,37,26,40,52
34,36,36,21,17,54,23
18,5,9,73,72,163,149
20,7,5,72,72,173,170
21,8,9,72,72,173,160
22,6,9,72,73,161,137
25,20,17,58,53,164,97
19,7,6,72,72,172,102
52,14,2,56,55,42,46
53,9,8,56,56,43,40
57,5,7,57,60,48,42
58,5,6,57,56,34,32
7,22,25,39,39,9,6
8,23,40,37,38,14,35
9,13,23,39,39,8,8
10,39,37,41,41,17,19
0,144,146,6,3,88,78
32,40,39,11,11,23,25
34,35,36,34,19,29,31
55,10,6,58,60,44,37
52,13,15,60,60,41,59
54,11,15,60,55,53,42
1,72,72,7,10,54,57
3,202,127,23,13,22,21
49,13,14,60,57,50,33
7,17,30,36,38,11,20
8,16,22,40,36,36,35
9,37,14,37,39,5,38
10,35,36,41,37,7,6
60,3,13,56,57,55,59
2,137,152,14,12,21,21
5,32,28,40,38,24,4
6,19,33,37,40,12,6
12,4,8,146,145,14,14
11,36,39,41,40,12,14
13,9,9,144,145,14,14
2,169,233,18,23,21,22
5,26,30,35,40,10,39
6,12,19,39,37,19,4
12,4,9,144,144,14,14
15,3,4,145,145,14,14
18,10,7,73,72,130,169
20,10,7,72,72,113,111
21,6,9,72,73,143,123
22,5,10,73,72,163,156
25,18,19,61,60,58,111
56,10,8,55,58,36,49
17,10,9,72,73,138,113
18,5,7,73,73,134,172
20,7,7,73,72,134,114
22,10,6,73,72,165,127
25,20,26,63,56,152,89
0,144,145,4,4,87,70
32,37,36,29,14,39,59
34,35,37,23,16,35,44
19,10,7,72,72,141,144
52,12,3,58,57,35,42
53,1,10,57,57,47,51
57,5,3,58,55,48,34
58,1,6,60,57,39,46
19,9,9,73,73,110,156
52,4,6,56,60,36,51
53,1,12,55,57,49,49
57,6,10,57,55,35,60
58,1,10,58,60,49,43
19,8,8,73,73,172,150
52,1,10,55,58,30,43
53,14,1,60,57,32,42
57,8,10,55,59,49,38
58,14,11,57,58,43,49
7,32,30,39,38,39,30
8,40,33,38,37,11,28
9,36,12,37,37,3,4
10,35,37,41,40,16,15
7,33,38,36,38,40,32
8,24,26,39,38,6,31
9,22,30,40,36,18,36
10,40,41,35,39,5,18
7,38,29,35,38,40,30
8,28,10,40,39,23,6
9,17,28,39,39,23,5
10,39,39,41,36,14,17
38,36,39,20,27,34,56
41,58,60,5,3,20,36
43,55,59,15,11,27,40
45,56,59,5,7,16,39
2,157,228,20,19,21,21
5,29,22,38,39,4,28
6,16,16,40,40,40,39
12,6,6,146,145,14,14
11,38,36,37,38,6,19
13,6,5,145,146,14,14
14,9,8,146,146,14,14
20,10,8,73,72,140,136
22,5,6,72,72,106,166
25,27,14,62,65,50,150
2,174,172,22,21,23,20
5,19,35,39,40,28,16
6,37,28,40,40,16,4
11,39,36,37,35,17,11
12,9,8,145,146,14,14
2,193,133,22,12,22,22
5,29,25,36,39,13,38
6,19,28,38,38,10,24
11,41,35,35,35,6,10
12,7,8,145,145,14,14
2,224,126,23,14,20,21
5,15,11,35,37,32,40
6,33,18,40,39,18,6
11,39,36,39,38,6,17
12,5,6,146,146,14,14
7,36,27,36,37,29,8
8,40,27,38,38,9,33
9,23,24,36,36,26,8
10,41,41,41,41,18,5
20,7,8,72,73,105,120
22,9,9,72,72,137,138
25,21,20,60,63,104,144
0,144,146,4,6,55,83
32,36,40,31,37,12,11
34,35,35,21,20,57,46
18,7,10,72,73,153,167
20,8,6,72,73,104,138
21,9,9,72,72,163,129
22,10,10,72,73,136,101
25,24,16,52,63,56,86
48,11,9,58,57,59,39
7,27,17,39,37,10,25
8,18,10,40,36,7,25
9,40,34,35,38,29,3
10,40,41,35,37,6,7
24,21,28,53,58,163,107
18,10,10,72,72,133,118
20,6,8,72,72,154,159
21,10,10,72,72,121,129
22,7,9,72,72,114,110
25,20,16,63,53,125,113
1,72,72,6,9,59,51
3,199,131,16,21,23,21
49,7,14,59,55,30,33
0,144,144,9,7,85,81
32,36,40,29,29,17,24
34,38,37,12,20,20,56
20,5,10,73,72,111,147
22,8,6,72,73,162,124
25,23,16,63,62,112,165
0,144,145,8,8,44,66
32,39,37,23,20,60,54
34,35,39,36,27,51,58
11,38,40,35,36,11,18
13,6,5,146,146,14,14
7,37,22,37,36,7,29
8,25,15,38,39,35,20
9,10,33,37,37,10,15
10,41,36,39,36,15,15
57,12,11,60,59,31,46
24,26,28,58,60,155,145
24,18,23,60,65,143,50
11,37,41,38,41,11,15
13,3,5,145,146,14,14
32,39,39,33,14,39,31
34,39,39,22,39,16,45
55,12,4,55,57,54,60
56,12,8,58,59,55,49
26,65,55,19,18,25,18
27,51,56,22,17,30,19
19,5,5,73,72,152,103
52,1,8,55,60,43,50
53,4,5,59,55,60,37
57,11,12,56,60,50,48
58,7,5,59,57,59,44
56,9,7,58,56,33,56
18,10,9,73,72,157,128
20,6,10,72,72,152,151
21,9,7,73,72,128,167
22,8,7,72,72,133,143
25,16,30,56,53,95,70
2,213,198,23,23,22,20
5,26,29,39,36,9,24
6,20,38,40,38,12,39
12,8,5,144,144,14,14
15,4,8,144,144,14,14
2,199,231,15,16,21,20
5,37,18,38,35,12,5
6,17,35,35,36,8,20
12,5,9,144,144,14,14
15,6,5,146,145,14,14
21,10,7,73,72,101,114
1,72,73,10,8,53,52
3,185,215,15,15,23,23
49,3,9,57,55,38,45
57,11,5,58,56,36,40
58,8,6,58,55,54,60
60,8,13,60,58,45,33
47,7,14,56,55,39,51
50,10,1,60,59,30,53
2,188,146,19,19,20,22
3,144,191,19,21,22,20
6,24,32,40,37,23,37
8,22,18,39,35,21,20
2,135,192,15,13,21,22
3,204,204,22,18,21,20
0,145,144,9,7,30,85
10,37,40,37,36,10,10
11,39,37,41,36,11,7
13,3,7,146,145,14,14
14,8,3,146,146,14,14
15,6,8,144,146,14,14
17,8,9,72,73,147,153
21,6,7,73,73,143,171
7,15,26,36,36,39,3
9,39,27,39,39,15,24
17,10,10,73,73,131,154
21,6,10,73,73,161,170
7,11,21,35,36,39,34
9,12,28,40,38,5,19
0,146,144,9,7,38,53
10,38,35,40,41,9,7
11,39,35,41,40,16,15
13,9,6,146,144,14,14
14,4,7,144,144,14,14
5,11,30,39,37,11,16
7,36,37,35,35,39,36
8,18,10,38,36,16,14
17,5,8,73,73,138,148
21,5,6,72,73,156,170
7,19,39,40,37,15,8
9,23,19,36,37,38,38
0,146,145,8,8,39,45
10,41,39,35,39,8,19
11,40,37,39,35,19,7
13,9,8,146,144,14,14
14,7,8,145,146,14,14
15,5,6,146,145,14,14
17,5,5,73,72,103,112
21,8,10,73,73,154,117
7,20,18,39,37,11,38
9,26,36,39,39,17,35
0,146,145,6,3,38,35
10,40,41,37,40,15,10
11,37,40,39,41,8,10
13,7,3,144,145,14,14
14,4,9,146,146,14,14
15,6,9,145,145,14,14
17,6,10,72,73,118,103
21,6,8,72,72,132,152
7,11,18,37,37,35,16
9,10,13,40,36,20,14
0,146,146,6,7,59,83
10,35,37,40,39,9,17
11,38,37,41,41,8,8
13,5,4,145,145,14,14
14,3,8,144,144,14,14
15,6,6,144,145,14,14
17,8,8,73,72,149,144
21,9,8,73,72,140,142
7,37,11,40,38,5,37
9,20,23,36,39,14,13
0,144,144,7,8,48,79
10,37,36,37,37,9,8
11,40,38,40,41,12,13
13,8,5,144,145,14,14
14,4,5,145,144,14,14
15,9,8,146,145,14,14
20,8,10,72,72,148,124
21,5,7,72,73,112,159
22,8,5,72,73,124,113
23,9,9,72,72,162,130
6,36,13,39,37,14,39
7,15,22,36,39,33,40
8,32,37,35,36,30,36
9,40,14,37,35,22,9
17,8,5,73,73,167,106
18,6,6,72,72,124,123
10,38,41,37,41,6,6
11,36,40,40,36,16,13
20,8,7,72,72,139,115
21,6,9,73,72,136,119
4,177,151,12,13,22,23
20,8,6,73,73,167,171
21,9,9,72,72,119,109
22,7,7,73,73,104,126
23,10,7,73,72,147,106
2,202,224,21,19,23,23
3,131,151,12,21,20,20
2,120,178,23,14,22,22
3,171,204,14,16,23,21
12,7,5,145,144,14,14
14,9,7,145,144,14,14
14,5,7,146,146,14,14
15,8,4,145,145,14,14
17,10,5,73,72,100,159
18,5,7,72,72,134,106
20,5,10,72,73,149,136
21,10,8,73,72,126,137
8,31,25,36,38,14,36
13,9,3,144,144,14,14
14,5,9,145,145,14,14
15,8,5,145,145,14,14
17,10,6,72,72,122,118
18,8,10,72,73,148,162
20,7,9,72,72,136,143
21,8,5,72,73,112,166
22,9,7,72,72,169,160
23,8,10,72,73,113,143
2,230,128,19,15,22,23
3,193,163,21,23,21,22
21,8,9,72,73,163,137
2,215,159,21,14,23,20
3,199,219,17,13,21,21
2,147,181,17,12,22,21
3,192,205,16,21,22,21
2,129,140,21,23,20,22
3,163,190,17,13,22,23
2,174,214,16,20,22,20
3,136,185,12,16,22,23
2,217,185,20,19,20,21
3,223,140,21,13,23,22
1,73,73,7,5,58,52
2,191,171,13,21,20,22
3,229,179,22,15,21,21
2,220,184,12,16,23,23
3,144,139,19,15,23,22
2,149,162,16,21,20,23
3,160,175,17,12,23,20
2,190,134,17,20,22,21
3,195,209,14,16,21,23
20,9,10,72,73,128,138
21,7,10,72,72,112,173
22,5,9,73,72,148,142
23,7,6,72,73,133,145
2,155,226,22,18,22,22
3,136,231,15,20,21,20
20,8,9,72,72,117,153
21,7,10,72,73,115,169
22,5,5,72,72,140,116
23,8,6,73,72,155,142
4,165,139,16,17,21,22
20,8,9,72,73,126,114
21,6,10,73,73,105,137
22,9,5,72,73,148,128
23,9,9,72,72,112,141
8,36,33,39,37,32,4
17,6,6,73,72,161,169
21,8,9,73,72,167,162
7,35,32,39,38,29,33
9,11,13,37,38,27,23
0,144,144,8,6,79,58
10,36,35,39,40,8,9
11,37,36,39,38,11,12
16,6,4,146,145,14,14
19,5,6,72,73,143,159
17,5,5,73,72,110,135
21,7,7,73,72,129,117
7,11,30,35,38,35,32
9,15,39,39,39,29,33
0,145,145,7,6,79,49
10,36,40,41,41,14,7
11,39,39,39,36,5,9
13,7,6,145,144,14,14
14,6,5,145,145,14,14
15,4,3,144,144,14,14
5,33,15,40,40,25,20
7,25,33,35,38,34,11
8,17,36,36,39,16,29
2,232,195,19,15,21,23
3,203,196,21,12,20,23
2,203,156,20,13,22,22
3,177,225,17,12,22,23
4,159,142,15,19,21,23
17,5,7,73,73,126,162
18,10,8,73,73,159,162
20,8,6,73,72,129,173
21,7,9,72,72,155,130
13,7,5,144,144,14,14
14,8,6,144,145,14,14
15,9,4,144,144,14,14
17,8,10,73,73,137,135
18,9,10,72,73,108,149
20,7,10,73,73,172,166
21,6,10,72,72,115,135
22,10,5,72,73,131,142
23,8,7,72,72,164,109
20,7,5,72,72,103,157
21,9,7,73,73,103,107
6,29,37,37,36,11,29
8,33,12,40,37,14,36
17,10,8,72,72,137,156
7,24,10,37,37,33,16
9,23,28,36,38,6,36
0,146,146,3,9,89,44
10,41,41,36,40,19,11
11,39,38,38,37,7,14
22,5,9,73,72,169,170
23,8,7,72,72,114,124
17,6,10,73,72,119,155
18,5,7,73,73,103,162
16,3,6,144,144,14,14
16,8,8,146,145,14,14
20,5,7,72,73,147,162
21,9,8,73,73,166,113
22,10,5,72,72,133,125
23,9,10,73,73,121,119
20,5,6,73,72,150,109
21,6,9,72,73,140,172
22,9,7,73,72,104,110
23,8,5,72,73,158,111
17,8,6,72,72,173,104
20,9,5,73,72,144,124
21,5,8,72,73,106,154
17,5,8,72,72,138,145
7,23,20,39,40,6,9
9,19,26,38,40,36,29
0,145,145,5,5,90,50
10,36,35,35,36,5,13
11,38,41,41,37,19,5
17,5,8,73,73,107,129
21,8,6,72,72,122,147
7,31,10,37,40,4,26
9,20,29,40,35,29,24
0,144,144,9,9,61,80
10,37,40,40,35,16,15
11,35,38,35,41,10,8
7,13,17,36,38,28,35
9,35,36,36,40,35,40
1,72,72,6,10,54,53
4,146,208,13,21,21,23
17,5,5,73,72,128,162
18,7,8,73,72,167,166
20,8,6,73,72,134,129
21,8,5,73,73,105,128
20,6,8,72,73,143,156
21,9,9,73,72,147,142
22,5,8,72,73,168,110
23,5,9,72,72,148,164
16,7,7,145,146,14,14
16,3,4,144,146,14,14
20,6,8,72,72,119,138
21,10,10,73,73,107,117
22,6,9,72,73,108,128
23,6,5,73,72,159,150
13,5,9,144,146,14,14
14,4,4,146,144,14,14
15,8,8,146,146,14,14
5,18,37,36,38,22,34
6,22,34,40,35,27,32
8,21,27,39,39,7,37
20,5,6,72,73,104,138
21,5,10,72,73,172,101
22,8,6,72,72,160,165
23,5,9,72,73,142,158
20,8,6,72,73,110,149
21,5,9,72,73,135,112
22,8,5,72,72,114,100
23,8,6,72,73,105,124
16,4,9,146,145,14,14
17,8,10,73,72,134,112
7,25,19,36,40,7,17
9,18,32,36,36,28,12
0,145,144,6,6,64,67
10,41,35,35,36,11,13
11,38,41,37,38,6,6
10,41,40,40,35,19,14
11,37,35,35,39,8,8
6,31,22,37,40,7,40
8,32,23,39,38,28,23
17,9,10,73,73,168,162
18,7,7,72,73,166,120
20,5,6,72,73,157,169
21,5,7,72,72,120,133
20,7,5,73,72,153,160
21,8,6,72,72,130,169
22,8,10,73,72,170,108
23,6,6,72,72,125,160
17,6,5,72,73,135,112
21,7,7,72,73,155,146
7,27,11,35,40,40,13
9,36,14,40,38,21,23
0,146,144,3,8,73,32
10,38,37,40,40,18,10
11,37,41,39,38,6,8
13,7,7,146,145,14,14
14,3,4,145,146,14,14
15,6,3,145,145,14,14
2,184,139,13,18,21,20
3,227,171,20,15,21,22
13,8,9,144,144,14,14
14,3,7,144,146,14,14
15,3,5,144,145,14,14
20,6,9,72,73,157,127
21,10,5,72,73,161,157
22,7,8,73,73,128,101
23,6,7,73,73,123,116
17,6,7,72,72,130,141
21,10,8,72,73,148,146
7,38,19,38,38,5,3
9,36,16,36,40,26,28
0,144,145,5,9,86,56
10,37,38,40,38,7,5
11,37,40,41,41,17,9
13,6,6,146,144,14,14
14,8,3,145,146,14,14
15,9,5,146,146,14,14
17,5,7,72,72,126,164
7,36,20,37,38,16,30
9,14,18,40,37,6,19
0,144,146,8,5,54,50
10,37,36,36,36,5,13
11,37,40,40,40,17,13
22,6,5,72,72,154,158
