工作站順序,工單1,工單2,工單3,工單4,工單5,工單6
88,10,10,7,6,21,29
90,11,10,5,1,26,19
91,10,10,1,3,13,20
65,8,8,41,49,30,23
66,8,7,49,50,39,35
67,8,3,42,48,23,30
75,8,1,47,40,32,37
80,7,2,40,45,30,20
33,35,4,41,50,104,127
37,35,8,46,47,127,132
39,35,38,37,49,126,112
29,57,40,23,29,45,41
35,56,8,20,43,124,105
44,57,38,27,36,112,106
7,64,74,168,157,5,8
8,64,89,134,136,5,5
9,64,68,123,189,5,9
10,64,83,99,140,5,2
75,15,9,46,50,36,34
84,8,5,50,40,36,31
86,8,1,44,44,33,39
87,15,8,48,42,25,37
17,34,15,20,17,28,21
0,123,194,12,20,39,45
32,36,27,21,23,119,128
34,36,12,44,25,104,126
75,15,8,45,48,22,37
84,8,7,45,46,24,32
17,20,26,25,21,30,28
18,9,5,28,16,27,23
20,15,22,12,14,25,28
22,15,17,10,28,20,30
25,15,20,9,9,26,26
0,90,173,12,12,30,41
32,39,19,48,46,126,125
34,39,12,33,21,134,119
88,10,11,4,4,11,22
90,11,10,3,6,16,16
91,10,10,1,2,29,11
0,123,153,20,20,41,42
32,36,24,45,29,109,123
34,36,31,46,31,106,112
55,10,4,41,21,134,100
65,8,8,42,48,26,21
66,8,7,50,48,33,20
67,8,3,48,50,20,30
83,3,6,44,50,34,24
84,3,3,40,41,27,33
86,3,3,41,41,24,37
87,7,3,49,49,31,40
7,65,65,117,150,6,5
8,65,89,147,163,7,2
9,65,82,131,128,9,3
10,65,76,122,112,8,4
70,5,8,43,47,22,34
71,5,3,45,40,30,23
72,5,5,47,42,34,34
73,5,9,40,42,22,29
0,123,204,13,14,50,50
32,36,21,48,36,126,125
34,36,7,26,46,119,111
55,10,27,43,21,117,106
65,8,2,47,48,32,31
66,8,1,41,50,29,26
67,8,1,43,49,36,31
83,3,4,48,50,26,21
84,3,7,50,44,30,26
86,3,6,49,50,32,38
87,7,2,50,45,24,36
7,65,80,107,174,7,8
8,65,86,192,96,2,7
9,65,85,155,139,4,8
10,65,80,151,95,5,1
70,5,1,46,42,31,22
71,5,5,49,41,22,33
72,5,5,43,50,20,39
73,5,5,45,45,31,37
88,10,13,6,9,30,20
90,11,11,8,1,21,26
91,10,11,6,5,17,18
88,10,11,1,9,16,22
90,11,11,5,5,12,12
91,10,12,2,3,17,17
70,3,8,49,42,38,35
71,2,1,44,47,30,30
72,2,3,43,49,22,22
73,2,3,46,48,23,34
7,64,84,169,199,3,6
8,64,83,172,95,4,5
9,64,67,93,157,1,1
10,64,63,106,171,7,3
70,3,7,50,41,25,28
71,2,3,40,44,20,23
72,2,4,43,48,40,27
73,2,6,50,48,37,37
11,90,88,150,176,7,1
13,91,75,106,170,3,2
75,5,5,45,47,20,26
80,5,6,40,50,35,35
83,3,9,46,47,28,20
84,3,9,47,43,33,25
86,3,8,44,50,31,23
87,5,8,43,46,26,37
11,115,68,156,146,7,6
13,119,94,194,101,1,7
32,35,29,45,34,103,105
34,35,7,36,37,122,103
65,1,3,46,41,40,24
66,1,5,42,43,28,20
67,1,7,47,44,39,33
75,1,4,42,47,35,21
80,1,1,43,46,32,25
33,35,22,39,37,111,129
37,35,38,40,47,118,123
39,35,29,41,39,134,115
46,58,2,26,40,123,124
81,1,8,40,40,39,26
65,1,9,42,41,27,26
66,1,3,41,43,27,24
67,1,7,43,45,37,24
75,1,7,50,45,37,22
80,1,7,49,40,39,37
33,35,1,50,22,114,104
37,35,17,24,30,112,105
39,35,25,43,31,108,107
46,58,13,21,22,105,101
81,1,2,42,47,31,40
91,10,12,9,3,14,22
93,10,10,8,4,29,18
55,11,21,33,21,124,122
65,8,5,46,44,37,32
66,8,9,40,49,40,33
67,8,5,43,46,32,27
75,8,1,45,50,33,31
80,7,5,41,41,38,25
83,3,8,41,42,36,40
84,3,9,41,44,33,38
52,10,8,41,26,111,101
54,10,12,20,40,112,132
84,3,1,43,48,35,25
86,3,9,43,43,20,32
65,1,7,45,45,27,34
66,1,6,43,42,24,32
67,1,4,43,43,38,21
75,1,8,45,45,37,29
80,1,1,50,44,36,25
33,35,9,38,49,106,135
37,35,10,50,49,119,117
39,35,37,26,38,126,114
46,58,14,25,33,101,105
81,1,2,45,48,38,22
88,10,11,5,5,21,19
90,11,10,1,6,29,19
91,10,12,9,7,16,25
55,11,35,35,49,114,112
65,8,6,50,46,36,31
66,8,4,45,42,24,38
67,8,6,42,43,29,27
75,8,5,42,44,21,36
80,7,1,43,50,26,39
83,3,7,45,50,24,30
84,3,9,46,50,25,23
86,3,3,41,41,37,28
87,7,7,48,47,37,38
19,7,15,14,29,24,23
52,13,14,29,26,127,135
53,8,21,43,47,127,126
88,10,12,8,4,13,30
90,11,11,5,8,26,16
91,10,11,2,5,16,13
70,5,5,44,40,21,22
71,5,3,44,43,24,39
72,5,8,50,42,29,28
73,5,2,42,44,22,34
55,11,24,30,26,124,105
65,8,4,47,48,28,37
66,8,2,41,40,34,22
67,8,7,50,41,21,30
75,8,3,48,49,34,28
80,7,6,42,40,38,21
83,3,4,50,49,36,22
84,3,2,46,42,26,40
86,3,5,50,42,32,26
87,7,9,49,48,40,20
33,35,25,39,50,134,125
37,35,22,50,33,117,123
39,35,7,47,49,133,118
29,66,60,11,18,44,28
35,65,32,21,25,105,122
44,66,38,30,31,103,121
70,4,7,50,46,33,26
71,3,3,43,45,38,39
72,3,8,40,48,38,26
73,2,7,42,46,32,33
17,34,21,16,7,26,30
20,33,21,8,19,24,30
22,33,17,16,26,28,24
0,123,174,21,18,45,42
32,36,13,49,43,119,115
34,36,34,43,34,116,127
18,11,15,11,25,21,30
21,11,12,21,5,21,20
16,12,22,16,17,22,21
23,15,8,17,20,29,27
82,14,6,42,40,26,40
70,4,5,45,40,32,31
73,2,3,45,48,30,31
16,10,26,23,23,27,27
23,15,12,29,13,25,23
82,1,5,48,40,28,29
83,5,1,50,46,38,31
84,5,2,44,46,40,23
55,11,36,29,27,103,132
65,8,4,49,44,23,25
66,8,5,47,44,20,34
67,8,3,47,44,34,37
75,8,4,47,42,37,38
80,7,1,49,45,25,31
83,3,5,42,46,26,22
84,3,1,40,42,25,37
86,3,1,46,48,22,34
87,7,9,42,49,40,40
17,22,25,19,13,29,20
18,11,22,12,21,30,30
21,10,18,8,7,25,26
88,17,12,6,4,19,19
90,18,11,7,2,21,23
91,17,11,6,1,12,21
93,17,10,4,8,15,12
65,1,2,50,48,22,39
66,1,5,41,43,20,24
67,1,1,46,49,24,27
75,1,8,41,42,28,36
80,1,2,48,42,30,36
33,35,19,28,42,128,131
37,35,3,48,47,114,104
39,35,25,22,24,122,127
46,58,35,46,38,104,107
81,1,1,45,44,31,29
24,27,9,18,27,30,27
81,4,3,49,50,33,37
51,13,12,43,36,100,111
81,4,8,46,49,37,37
24,24,10,11,5,20,23
81,4,6,44,42,23,34
91,10,12,2,7,27,16
93,10,13,4,4,28,25
55,11,37,27,22,134,131
65,8,5,42,49,33,24
66,8,6,43,40,40,34
67,8,8,48,41,27,28
75,8,7,44,44,39,39
80,7,6,46,50,22,38
83,3,1,45,47,39,37
84,3,9,48,45,35,39
52,10,15,35,29,100,126
54,10,23,29,41,113,118
84,3,6,40,41,28,24
86,3,5,44,49,20,37
59,16,22,24,47,131,124
74,5,4,49,40,30,33
76,5,8,49,47,22,20
77,5,6,42,47,24,37
78,5,7,42,46,28,31
79,5,5,48,47,39,29
85,3,9,43,46,36,24
89,10,13,6,1,13,14
92,10,12,9,1,18,15
88,12,13,5,5,19,21
90,12,11,2,5,30,20
91,12,12,3,4,23,19
93,12,11,6,1,19,24
70,5,1,42,40,27,39
71,3,5,47,41,21,39
72,3,8,44,40,37,21
73,2,7,42,42,22,32
65,1,3,43,49,27,37
66,1,5,48,42,27,31
67,1,3,43,43,29,38
75,1,9,46,48,30,20
80,1,5,42,42,34,31
33,35,20,33,36,121,126
37,35,35,22,30,115,129
39,35,12,48,24,118,110
46,58,35,26,20,116,129
81,1,6,44,44,21,27
7,63,63,108,101,8,1
8,63,83,147,172,7,1
9,63,75,145,153,6,2
10,63,75,119,100,4,4
7,63,75,95,94,9,3
8,63,87,177,113,2,5
9,63,76,155,139,1,3
10,63,83,190,163,9,3
46,58,19,42,39,102,119
81,10,4,47,49,34,20
28,70,63,26,22,27,46
30,70,63,21,18,31,37
42,70,5,24,29,135,108
11,71,67,114,196,6,4
13,73,77,112,161,3,7
75,5,1,46,47,39,30
80,5,6,47,40,26,20
60,4,6,47,40,29,36
61,4,5,49,49,38,24
62,4,3,44,40,34,31
63,4,7,41,47,29,34
64,4,1,45,42,23,37
11,71,77,197,171,2,4
13,73,81,178,169,6,5
75,5,8,42,40,29,37
80,5,9,41,47,25,25
31,59,39,26,31,132,110
36,59,35,23,34,121,114
40,59,17,33,41,108,100
60,1,6,40,45,25,30
61,1,5,41,44,33,21
62,1,7,48,49,29,25
63,1,2,44,40,21,26
64,1,2,46,46,34,38
91,10,11,5,2,17,23
93,10,10,1,5,13,29
55,11,29,47,42,128,111
65,8,7,49,41,26,22
66,8,2,41,42,28,22
67,8,3,49,42,31,24
75,8,1,49,44,35,25
80,7,3,49,48,24,21
83,3,8,44,45,37,28
84,3,4,43,50,33,34
52,10,26,22,41,105,132
54,10,3,49,44,102,128
84,3,2,42,46,33,27
86,3,7,43,46,27,32
83,1,4,45,43,23,31
84,1,3,46,41,29,34
86,1,1,42,43,26,28
87,2,6,46,43,38,40
28,60,40,10,28,43,42
30,60,45,16,28,31,46
42,60,10,29,50,122,103
77,10,4,45,40,23,39
78,10,7,40,50,29,29
79,10,2,44,49,29,38
85,5,8,46,47,26,34
65,3,6,43,42,31,31
66,3,4,42,50,26,26
67,3,8,41,41,31,40
91,17,13,2,6,13,28
93,17,10,4,7,18,27
91,17,11,8,5,13,10
93,17,13,8,1,30,29
18,10,5,15,18,20,21
20,21,24,28,14,20,28
21,10,16,29,29,26,30
22,21,29,9,13,29,23
25,21,24,26,8,29,27
74,6,8,45,50,40,30
76,6,6,42,49,22,30
77,7,6,41,41,37,27
78,7,2,44,42,21,27
79,7,9,45,50,24,32
85,3,7,49,49,33,23
60,4,3,44,45,29,29
61,4,5,48,50,27,38
62,4,5,43,41,37,22
63,4,6,46,42,34,21
64,4,9,50,41,33,28
81,7,6,50,50,28,22
46,57,25,32,34,115,104
81,8,2,50,44,29,36
81,9,6,40,46,39,37
83,3,2,43,41,36,36
84,3,9,49,47,29,37
86,3,9,46,42,38,38
87,6,7,43,40,36,34
52,13,24,28,37,121,134
86,3,9,44,43,26,37
7,65,91,199,115,1,6
8,65,67,139,134,1,9
9,65,79,187,177,6,1
10,65,80,133,135,4,7
70,5,9,49,50,36,20
71,5,8,44,42,36,32
72,5,3,49,42,21,22
73,5,3,40,46,34,34
18,10,27,23,6,28,20
20,21,30,26,6,23,21
21,10,25,11,24,28,25
22,21,6,24,27,27,22
25,21,7,25,15,21,26
48,173,17,41,39,126,120
81,1,3,49,41,23,21
24,3,10,16,20,23,30
81,1,6,45,47,38,25
24,3,17,17,5,29,28
81,1,7,42,46,36,33
83,4,6,45,46,22,37
84,4,8,48,49,23,37
14,145,78,159,102,6,6
75,3,5,49,47,38,32
80,3,2,47,45,27,22
83,1,3,43,43,32,26
84,1,3,48,46,33,34
20,34,16,9,8,21,28
22,34,16,26,26,25,28
25,34,9,24,23,23,20
56,9,19,32,48,127,123
65,8,6,44,44,32,26
66,8,6,47,47,29,23
67,8,7,44,40,30,33
83,3,6,43,40,26,33
84,3,8,46,46,39,34
18,10,9,20,15,30,22
20,21,26,10,20,20,28
21,10,27,20,29,22,27
22,21,19,27,18,20,26
25,21,5,9,28,26,27
56,9,9,48,24,127,134
65,8,2,45,46,26,40
66,8,8,44,49,31,24
67,8,7,49,43,33,26
83,3,8,48,50,37,36
84,3,3,46,40,36,38
18,10,10,5,5,23,26
20,21,24,11,8,30,28
21,10,29,19,10,26,26
22,21,11,13,9,21,27
25,21,8,8,19,23,20
33,35,10,46,43,114,135
37,35,32,49,24,131,110
39,35,13,28,50,106,124
29,57,45,30,28,30,23
35,56,33,25,20,119,134
44,57,23,21,38,128,123
7,64,71,162,179,1,3
8,64,84,136,177,6,4
9,64,79,164,171,2,5
10,64,73,90,97,8,2
7,57,86,180,162,4,7
8,57,77,156,131,1,6
9,57,69,187,195,2,6
10,57,90,98,167,7,2
29,57,51,13,20,28,12
35,56,35,20,20,127,125
44,57,17,20,26,125,103
88,12,10,8,7,18,24
90,12,13,4,4,23,12
91,12,10,5,8,25,29
93,12,13,4,7,11,27
88,12,11,4,2,27,13
90,12,12,1,7,13,15
91,12,11,2,4,24,21
93,12,12,4,6,27,27
70,5,3,49,44,33,26
71,3,6,46,49,25,30
72,3,1,48,43,39,21
73,2,9,42,42,21,23
88,12,12,8,6,16,10
90,12,10,3,2,26,17
91,12,10,7,8,27,15
93,12,11,3,1,24,27
70,5,3,41,47,40,35
71,3,6,50,47,25,25
72,3,6,44,46,27,34
73,2,8,49,46,40,32
65,7,4,40,40,24,26
66,7,1,45,50,37,34
67,7,7,46,48,37,34
83,3,5,43,49,38,36
84,3,4,44,49,28,36
75,16,3,45,42,40,30
20,27,13,29,24,22,22
22,27,6,17,9,23,25
25,27,12,29,20,25,23
0,123,126,12,18,44,44
32,35,8,45,25,120,121
34,35,8,46,31,113,135
2,143,172,20,19,49,34
5,143,124,19,15,36,46
6,143,187,18,19,50,40
12,143,88,121,114,5,2
88,12,12,3,6,18,14
90,12,13,2,3,21,23
91,12,12,4,8,16,17
93,12,13,2,4,15,18
56,10,30,27,44,118,122
65,8,3,45,49,36,34
66,8,2,41,46,32,40
67,8,8,43,47,20,40
75,5,4,47,48,20,35
80,5,8,41,43,34,36
83,3,3,49,44,34,24
84,3,9,45,50,39,37
86,3,4,44,41,40,24
87,7,2,43,46,39,20
52,13,14,28,50,110,108
53,8,6,28,41,126,134
65,7,4,42,45,20,31
66,7,1,42,50,40,35
67,7,6,50,50,32,22
18,10,12,30,7,28,27
21,10,22,19,20,28,30
75,5,6,44,42,33,26
80,5,5,48,47,23,20
83,3,4,43,43,40,38
84,3,3,41,50,22,36
7,63,80,193,166,9,7
8,63,81,154,110,6,2
9,63,83,155,149,5,7
10,63,79,114,121,8,8
29,52,57,15,19,36,11
35,48,23,39,50,128,122
44,52,24,38,34,118,124
70,4,2,40,49,31,40
71,2,4,45,50,29,31
72,2,9,43,41,29,22
73,2,8,41,42,39,20
7,64,82,176,148,2,7
8,64,74,160,178,4,4
9,64,71,92,109,8,3
10,64,83,181,136,7,2
18,10,26,18,29,28,26
20,21,25,20,12,27,30
21,10,7,29,13,30,23
22,21,27,10,30,23,28
25,21,12,25,28,25,25
18,10,15,18,17,22,20
20,21,8,8,29,29,27
21,10,29,11,20,25,22
22,21,30,12,29,21,28
25,21,24,28,12,28,24
2,143,201,14,19,39,45
5,143,128,13,16,41,44
6,143,124,17,14,45,49
12,143,64,95,136,1,1
11,90,89,111,118,4,2
13,91,71,109,172,2,2
75,5,8,48,49,32,20
80,5,9,48,44,20,32
83,3,6,43,40,39,34
84,3,1,49,48,36,35
86,3,8,49,41,38,22
87,5,9,43,45,38,20
0,123,140,13,15,49,50
32,36,22,48,43,118,100
34,36,26,27,34,107,103
55,10,19,36,28,124,111
65,8,2,44,40,25,23
66,8,1,49,49,23,31
67,8,7,47,48,32,30
83,3,6,47,40,38,26
84,3,9,47,40,26,24
86,3,4,42,42,33,35
87,7,6,42,44,36,23
7,65,88,135,159,9,3
8,65,80,151,159,3,2
9,65,68,177,169,6,2
10,65,66,174,150,6,4
70,5,7,46,43,21,30
71,5,1,46,42,22,32
72,5,7,45,49,28,31
73,5,3,49,47,35,38
26,117,55,27,25,38,25
68,10,2,47,50,20,35
2,228,136,19,19,32,31
5,228,172,13,14,42,47
6,228,131,13,20,38,38
12,228,79,105,147,2,8
15,228,228,22,22,22,22
1,156,143,14,21,46,35
3,156,196,14,12,32,39
49,76,20,44,27,133,108
70,5,5,49,40,20,37
71,5,7,45,41,28,29
72,5,5,41,50,37,30
73,5,4,48,46,21,20
7,64,69,116,186,7,2
8,64,77,134,187,8,1
9,64,75,104,197,6,1
10,64,83,140,195,7,6
70,5,1,44,40,28,36
71,5,3,46,46,38,29
72,5,9,43,40,24,23
73,5,1,41,45,29,30
70,5,3,50,40,29,31
71,5,2,45,42,32,31
72,5,6,45,47,33,32
73,5,4,44,50,34,35
7,64,81,102,168,1,6
8,64,90,114,194,1,1
9,64,86,185,141,1,5
10,64,94,185,189,9,2
70,5,5,49,40,29,26
71,5,2,48,42,21,22
72,5,7,48,47,27,28
73,5,7,41,41,20,30
83,1,3,45,43,21,23
84,1,3,48,50,26,35
17,33,19,15,21,25,20
20,32,10,21,9,30,26
22,32,22,7,10,25,24
0,123,177,21,15,39,37
32,36,8,42,50,100,117
34,36,35,39,37,123,130
57,12,22,35,31,127,120
75,1,8,41,40,35,36
80,1,7,48,45,20,27
83,1,9,45,49,29,28
84,1,9,40,43,26,22
86,1,2,49,45,25,29
87,1,1,41,46,30,28
2,228,187,15,18,48,41
5,228,204,14,14,49,30
6,228,125,15,17,50,49
12,228,90,131,116,3,3
15,228,228,22,22,22,22
2,137,197,16,13,39,49
5,137,123,20,15,37,38
6,137,132,20,18,38,43
12,137,88,108,100,8,3
83,6,5,43,43,34,38
84,6,5,42,47,30,40
86,6,4,49,47,21,26
87,13,6,46,45,29,36
11,90,93,175,162,4,1
13,91,80,148,123,5,7
75,5,9,41,42,25,25
80,5,1,41,47,25,26
83,3,4,42,40,38,32
84,3,5,40,48,27,25
86,3,7,41,41,39,40
87,5,9,49,41,38,21
65,7,4,49,50,32,27
66,7,4,41,47,35,39
67,7,8,47,50,40,36
83,3,9,43,45,25,35
84,3,5,49,49,32,22
7,63,80,147,94,5,8
8,63,73,97,115,7,7
9,63,81,189,111,4,8
10,63,90,155,195,1,4
55,9,21,26,31,107,131
29,52,40,13,13,16,41
35,48,10,46,30,131,116
44,52,31,23,21,133,110
70,2,7,50,45,28,39
71,1,8,47,41,25,20
72,1,6,44,48,34,37
73,1,4,46,47,21,21
88,10,12,6,1,21,26
90,11,11,5,5,12,26
91,10,13,2,8,21,19
93,10,11,4,7,12,22
70,5,8,45,44,34,37
71,3,8,50,41,32,40
72,3,7,42,48,32,21
73,2,5,44,47,32,26
65,1,7,43,44,24,34
66,1,6,41,44,27,25
67,1,4,44,43,34,39
75,1,3,47,40,35,34
80,1,9,49,45,38,40
33,35,10,27,22,132,110
37,35,21,31,37,129,116
39,35,11,33,38,109,113
46,58,38,26,46,111,100
81,1,1,45,44,26,38
65,1,5,40,40,29,27
66,1,5,44,41,35,35
67,1,7,46,44,23,20
75,1,2,50,48,40,20
80,1,4,48,46,24,23
33,35,38,26,23,102,103
37,35,32,47,36,121,110
39,35,1,45,48,120,108
46,58,39,30,27,119,128
81,1,7,50,46,32,22
77,9,3,43,41,27,30
78,9,7,43,42,36,29
79,9,9,45,49,28,38
85,5,5,48,40,37,37
60,2,3,40,46,23,27
61,2,1,43,44,33,23
62,2,3,44,45,25,40
63,2,1,46,49,24,38
64,2,2,45,40,33,31
2,153,146,17,19,41,34
5,153,192,21,20,32,30
6,153,170,15,16,39,30
12,153,66,192,145,8,6
57,13,29,22,26,103,106
65,7,1,44,40,36,22
66,7,2,48,50,37,36
67,7,6,47,44,31,30
83,3,2,40,49,39,35
84,3,3,45,48,23,27
86,3,5,49,44,30,34
87,7,6,48,49,29,26
28,60,63,23,30,46,36
30,60,53,15,30,32,25
42,60,21,37,39,119,134
1,156,190,12,19,39,38
3,156,201,17,14,33,33
49,76,21,31,37,133,102
70,5,7,49,43,40,37
71,5,7,49,45,22,20
72,5,7,40,46,30,34
73,5,7,46,49,27,39
7,64,76,164,171,6,1
8,64,82,195,138,5,4
9,64,71,153,142,8,2
10,64,94,99,157,2,9
70,5,6,47,41,25,36
71,5,5,48,41,23,20
72,5,8,44,40,32,39
73,5,2,46,50,20,37
29,66,45,12,19,12,40
35,65,12,21,35,105,123
44,66,21,31,21,129,108
70,2,6,42,47,38,31
71,1,6,47,45,38,30
72,1,5,42,44,39,23
73,1,1,49,48,26,22
29,52,52,10,13,30,13
35,48,16,43,30,130,127
44,52,21,44,42,125,121
70,2,9,43,41,35,27
71,1,5,41,40,38,21
72,1,2,40,50,39,20
73,1,9,47,50,30,36
1,150,194,21,16,33,50
3,150,125,21,14,47,38
49,71,10,43,50,117,120
70,5,1,48,47,20,32
71,5,3,46,41,29,35
72,5,5,49,49,30,29
73,5,6,49,48,27,40
81,1,2,49,50,26,23
2,143,205,20,16,35,39
5,143,195,21,13,48,49
6,143,204,21,18,46,50
12,143,80,173,129,8,4
70,1,8,42,50,28,38
71,1,7,42,40,31,21
72,1,1,40,43,20,36
73,1,7,46,43,27,35
88,10,13,5,4,22,25
90,11,12,3,9,29,16
91,10,10,2,8,19,23
93,10,10,4,3,21,29
70,5,2,42,40,29,39
71,3,2,45,43,21,33
72,3,9,41,50,29,21
73,2,3,48,44,32,35
70,5,1,44,46,34,28
71,3,5,50,42,34,24
72,3,6,42,50,24,40
73,2,9,43,44,30,20
7,71,88,133,143,7,8
8,71,76,109,90,7,7
9,71,95,110,159,5,6
10,71,87,124,200,4,9
70,5,6,50,46,23,20
73,5,5,42,50,20,34
65,7,6,43,49,32,20
66,7,5,49,49,29,28
67,7,3,50,49,21,25
83,3,8,43,50,22,26
84,3,5,47,44,33,36
